dataset,method,seed,fold,total_features,selected_features,feature_ratio,fitness,evaluations,runtime_seconds,redundancy,parameters,selected_indices,accuracy,balanced_accuracy,f1_score,mcc,sensitivity,specificity,jaccard_stability,nogueira_stability,interaction_quality
breast_cancer,EHOA,42,holdout,30,15,0.5,0.0332857142857141,69,2.062003700004425,0.3929069343266632,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 3, 5, 7, 8, 9, 15, 16, 18, 21, 22, 23, 24, 27]",0.9210526315789472,0.9275793650793652,0.935251798561151,0.8380140438509858,0.9027777777777778,0.9523809523809524,0.3645284780578898,0.15837104072398178,-0.30471653640878915
breast_cancer,SF-EHOA,42,holdout,30,13,0.4333333333333333,0.0347948717948719,72,2.92796920001274,0.4452490773174919,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[3, 5, 7, 8, 9, 13, 18, 20, 21, 22, 23, 24, 27]",0.9473684210526316,0.9484126984126984,0.9577464788732394,0.8886350389948482,0.9444444444444444,0.9523809523809524,0.3747114162217137,0.13086111606346917,-0.3820876078498596
breast_cancer,IG-EHOA,42,holdout,30,14,0.4666666666666667,0.0373040293040294,67,3.1904702999745496,0.3734733292230524,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 3, 5, 7, 8, 9, 15, 16, 18, 21, 23, 24, 27]",0.9210526315789472,0.9275793650793652,0.935251798561151,0.8380140438509858,0.9027777777777778,0.9523809523809524,0.36044130354771087,0.06400427883758208,-0.26611876321513506
breast_cancer,DFA-EHOA,42,holdout,30,14,0.4666666666666667,0.035128205128205,72,2.874495600000955,0.3989323632547698,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 5, 7, 8, 9, 13, 15, 16, 18, 20, 21, 22, 23, 24]",0.956140350877193,0.9553571428571428,0.965034965034965,0.90637859429323,0.9583333333333334,0.9523809523809524,0.35079074910596647,0.0773756462827595,-0.29331007471865983
breast_cancer,EHOA,123,holdout,30,13,0.4333333333333333,0.0326190476190475,69,1.4817288999911398,0.4625892212778401,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[3, 4, 5, 7, 12, 13, 18, 20, 21, 22, 26, 27, 29]",0.9824561403508772,0.9861111111111112,0.9859154929577464,0.9633432944855655,0.9722222222222222,1.0,0.3645284780578898,0.15837104072398178,-0.35161886888405774
breast_cancer,SF-EHOA,123,holdout,30,15,0.5,0.0354615384615383,70,2.684729599975981,0.340718009499932,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 7, 8, 11, 13, 14, 18, 19, 20, 21, 22, 23, 27, 28]",0.9736842105263158,0.9692460317460316,0.9793103448275862,0.9433397594898876,0.9861111111111112,0.9523809523809524,0.3747114162217137,0.13086111606346917,-0.11394520499653873
breast_cancer,IG-EHOA,123,holdout,30,16,0.5333333333333333,0.0292673992673991,71,2.3131091000395827,0.4980586054352262,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[2, 4, 5, 7, 10, 12, 13, 17, 20, 21, 22, 25, 26, 27, 28, 29]",0.9649122807017544,0.9623015873015872,0.9722222222222222,0.9246031746031746,0.9722222222222222,0.9523809523809524,0.36044130354771087,0.06400427883758208,-0.4407202900904903
breast_cancer,DFA-EHOA,123,holdout,30,15,0.5,0.0289340659340658,69,2.7952844999963418,0.4533500281068917,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[2, 3, 4, 7, 10, 13, 16, 17, 20, 21, 22, 23, 26, 28, 29]",0.9736842105263158,0.9742063492063492,0.9790209790209792,0.9438975339262832,0.9722222222222222,0.9761904761904762,0.35079074910596647,0.0773756462827595,-0.33357837193965395
breast_cancer,EHOA,2026,holdout,30,13,0.4333333333333333,0.0369706959706958,63,0.8776911000022665,0.4341154299978765,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 4, 6, 10, 12, 15, 16, 20, 21, 22, 27, 28]",0.9649122807017544,0.9672619047619048,0.971830985915493,0.9259891667402068,0.9583333333333334,0.9761904761904762,0.3645284780578898,0.15837104072398178,-0.3241654315098646
breast_cancer,SF-EHOA,2026,holdout,30,17,0.5666666666666667,0.0404798534798535,58,2.302963800029829,0.381882581706579,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 4, 6, 10, 13, 15, 16, 18, 19, 20, 21, 22, 24, 25, 27, 29]",0.9649122807017544,0.9672619047619048,0.971830985915493,0.9259891667402068,0.9583333333333334,0.9761904761904762,0.3747114162217137,0.13086111606346917,-0.23700657901380076
